,nome,cpf,idade,data,endereço,estado,Pais
0,Bruna Moura,589.273.064-65,59,28/09/65,"Alameda da Rosa, 13
São Jorge 2ª Seção
29073670 Pacheco de Correia / RJ",Goiás,Brasil
1,Yuri Lopes,145.073.962-80,43,19/06/81,"Área de Mendonça, 58
Santa Efigênia
73900109 Costela do Norte / MS",Santa Catarina,Brasil
2,Maria Sophia da Rosa,720.845.361-62,39,02/05/85,"Distrito Azevedo, 75
Lindéia
86643-678 Nunes / PB",Tocantins,Brasil
3,Davi Lucca Mendonça,810.724.953-41,34,26/05/90,"Fazenda Olivia Barros, 93
Vila Ipiranga
49944-897 Vargas Grande / RR",São Paulo,Brasil
4,Dra. Maya Rodrigues,241.369.058-15,26,09/06/98,"Estação Luiz Fernando Albuquerque, 88
Santa Sofia
61370588 Teixeira do Galho / GO",Piauí,Brasil
5,Lucas Gabriel Rios,842.639.051-05,32,03/08/92,"Conjunto de Moura
Distrito Industrial Do Jatoba
31210185 Cirino / RS",Espírito Santo,Brasil
6,Ana Abreu,496.187.023-40,33,27/02/91,"Fazenda Garcia, 369
Conjunto Novo Dom Bosco
42492-260 das Neves Verde / PI",Goiás,Brasil
7,Ravi Vasconcelos,043.165.729-70,19,01/04/05,"Conjunto de Mendonça, 74
Santa Rita De Cássia
24670761 Almeida de Marques / MG",Maranhão,Brasil
8,Caroline Vieira,973.840.615-39,33,25/08/91,"Viaduto Pedro Lucas da Paz, 1
Santa Efigênia
34836520 Azevedo / RO",Rio de Janeiro,Brasil
9,Hellena Borges,803.164.579-57,30,30/11/94,"Jardim Silva, 13
Mineirão
56917426 Siqueira / PA",Mato Grosso,Brasil
